time,x,y,heading
66.048,3.4950959210741837,-2.550420153109027,-3.6106532150814465e-05
66.56,3.1878958444061634,-2.5504073478870217,-5.41885492134204e-05
67.072,2.8806958497198405,-2.5503909328016356,-5.2055803160203216e-05
67.584,2.573495854889069,-2.5503740871648435,-5.1962462229613026e-05
68.096,2.2662958529087307,-2.5503581506327277,-5.591457688289763e-05
68.608,1.9590958517000077,-2.5503418380410214,-5.012672303370795e-05
69.12,1.651895855251304,-2.5503251706510004,-5.3207495756910507e-05
69.632,1.3446958522356556,-2.5503092764514914,-5.531609413951651e-05
70.144,1.0374958520954956,-2.550292827701573,-4.967255739822905e-05
70.656,0.7302958550445833,-2.550276277764579,-5.425986206825188e-05
71.168,0.42309585141701767,-2.5502604141008947,-5.440216777490257e-05
71.68,0.11589585254247986,-2.5502438447479556,-4.960074484391943e-05
72.19200000000001,-0.19130414542677981,-2.5502274421725692,-5.5144598843808654e-05
72.70400000000001,-0.4985041492366867,-2.5502115604547835,-5.3295927489556034e-05
73.21600000000001,-0.8057041469768593,-2.550194904272154,-4.9900394196263366e-05
73.72800000000001,-1.112904146121118,-2.550178665276456,-5.575382419948426e-05
74.24,-1.4201041496687068,-2.5501627210890083,-5.2116113650545796e-05
74.752,-1.7273041465437489,-2.550146024513241,-5.052683583963783e-05
75.264,-2.034504146990076,-2.550129949949069,-5.600849400353642e-05
75.776,-2.3417041498537885,-2.5501139100410373,-5.098050478654406e-05
76.288,-2.648904146233289,-2.5500972280493066,-5.139109101263911e-05
76.8,-2.9561041479744308,-2.5500813068867556,-5.586853867339201e-05
77.312,-3.2633041497882123,-2.550065157055762,-4.996930453301376e-05
77.824,-3.5705041460886076,-2.550048549849933,-5.2355252462917816e-05
78.336,-3.877704149062044,-2.550032775866176,-5.5356968345417716e-05
78.848,-4.129829862866466,-2.5500220916450385,-3.648137650457247e-05
79.36,-4.279977136600758,-2.5500142786672,-6.502462863064354e-05
79.872,-4.35624774433466,-2.521737949600484,3.073563452337525e-05
80.384,-4.3559295908558715,-2.3676777922570196,-5.786753992137273e-05
80.896,-4.355900040754301,-2.2140654429718203,-8.142471631626216e-05
81.408,-4.35587688784808,-2.0604653556262984,-6.723295462690542e-05
81.92,-4.325702708405259,-1.9186149267502282,0.0005772543156782505
82.432,-4.017228965225232,-1.9186297363197455,0.002301314632520054
82.944,-3.7099950158123045,-1.917930966615431,0.0022327187918442155
83.456,-3.4027948609481835,-1.9172611337798273,0.002167951157845806
83.968,-3.0955955487059934,-1.9165926667151185,0.002187170158270884
84.48,-2.7883962860906735,-1.9159209321308777,0.002182145186465568
84.992,-2.4811970202081755,-1.915249848458125,0.0021862966112742295
85.504,-2.1739977489158084,-1.9145792382995408,0.00218486471655591
86.016,-1.8667984846717278,-1.9139078998809345,0.0021819151413739637
86.528,-1.559599219164509,-1.9132369358707546,0.0021870901149872316
87.04,-1.2523999486163933,-1.9125662213099746,0.002183887976872344
87.552,-0.9452006854084549,-1.9118948295507174,0.002182555449621765
88.06400000000001,-0.638001418553354,-1.9112239847388612,0.0021873887537090194
88.57600000000001,-0.33080214874458486,-1.9105531537537195,0.0021829964601684107
89.08800000000001,-0.023602886140804368,-1.9098817464942632,0.0021834370567398484
89.60000000000001,0.28359638207831445,-1.9092109997987448,0.0021873539189002224
90.112,0.5907956507737822,-1.9085400284042435,0.002182286468296786
90.624,0.8979949132447272,-1.9078686484043155,0.0021844588704805178
91.136,1.2051941826411405,-1.9071979650606377,0.0021869998634647036
91.648,1.5123934499571188,-1.9065268424881758,0.0021818481459766445
92.16,1.8195927127771307,-1.9058555263100387,0.00218551520460883
92.672,2.126791983018873,-1.9051848610152147,0.0021863803221804728
93.184,2.433991248830797,-1.9045135892228349,0.0021817427026633975
93.696,2.741190512440145,-1.9038423607071264,0.0021865109703139004
94.208,3.0483897830885938,-1.9031716608057794,0.002185590936059919
94.72,3.3555890473934236,-1.90250024804471,0.0021819956605476204
95.232,3.662788312153469,-1.9018291075471703,0.0021874241319094537
95.744,3.9671224881965514,-1.901164867710095,0.0021738105157558868
96.256,4.183374364639785,-1.9006951102369365,0.0021827550264897017
96.768,4.311798601741964,-1.9004137209074106,0.0021964135542456467
97.28,4.354773098846922,-1.8237222630630263,0.0022043447196013516
97.792,4.353994288758139,-1.6699811574859338,0.0022093664210629488
98.304,4.353316178507741,-1.5163780535466083,0.00219266882216955
98.816,4.352642262303745,-1.3627795341930862,0.002195283871404447
99.328,4.263866324075379,-1.250082295732975,0.0004901502991849395
99.84,3.9559020379559655,-1.2504504429180294,-0.00016819687849444956
100.352,3.648685097241559,-1.2504126219859721,-6.869443153931915e-05
100.864,3.341484676573637,-1.2503995776338832,-4.1784715336341036e-05
101.376,3.0342846709343254,-1.2503848439289966,-5.1135183020553354e-05
101.888,2.727084677748985,-1.2503686135782839,-5.1375426597183436e-05
102.4,2.419884676093433,-1.2503530984624103,-5.20768780466108e-05
102.912,2.112684676278679,-1.2503373115081524,-4.949478649874522e-05
103.424,1.805484677905867,-1.2503214594537269,-5.164805845985649e-05
103.936,1.4982846757629118,-1.2503059409095831,-5.174995395542697e-05
104.44800000000001,1.1910846764621579,-1.2502900885794743,-4.942593357031927e-05
104.96000000000001,0.883884677432323,-1.2502743139754047,-5.205969013644115e-05
105.47200000000001,0.5766846752140138,-1.2502587910912453,-5.121083230252374e-05
105.98400000000001,0.2694846765200072,-1.2502429012169256,-4.954886875323899e-05
106.49600000000001,-0.03771532319237612,-1.2502272089220625,-5.234138153276451e-05
107.008,-0.34491532521787255,-1.2502116610827703,-5.0632035065125905e-05
107.52,-0.6521153234640388,-1.250195756511945,-4.9828589632863664e-05
108.032,-0.9593153239082882,-1.2501801473201695,-5.245086543716681e-05
108.544,-1.2665153255116746,-1.2501645588696686,-5.007345655734697e-05
109.056,-1.573715323529333,-1.2501486665754116,-5.022371828567712e-05
109.568,-1.8809153246739292,-1.2501331348498592,-5.2365593214494925e-05
110.08,-2.188115325672563,-1.2501174983144103,-4.958506075662242e-05
110.592,-2.4953153237096424,-1.2501016478600582,-5.067461837995676e-05
111.104,-2.8025153254462656,-1.2500861848074531,-5.207892514428687e-05
111.616,-3.109715325717192,-1.2500705047432568,-4.918945318370561e-05
112.128,-3.4169153240228916,-1.2500547289112347,-5.110128155605921e-05
112.64,-3.7241153261981452,-1.2500393335911468,-5.1586426722540486e-05
113.152,-4.019798953657361,-1.2500250262800563,-2.9685911925793814e-05
113.664,-4.214621855755145,-1.2500175781987801,-5.464322843463374e-05
114.176,-4.330370860065231,-1.2500106313641517,-6.152875839087289e-05
114.688,-4.3559805761451775,-1.144539366017207,-2.4592714712377217e-05
115.2,-4.3559175022014935,-0.9908675794120781,-7.18881973696276e-05
115.712,-4.355893563263584,-0.8372651068611343,-6.971623019828137e-05
116.224,-4.355873254158753,-0.6836653266729329,-6.335560355470265e-05
116.736,-4.1710389826639265,-0.6188597209105754,0.0020074543179469458
117.248,-3.8636059035759054,-0.6182830425310983,0.002360472831953838
117.76,-3.5564014385965295,-0.6175938287690058,0.0021670347442942924
118.272,-3.249201977104737,-0.6169276729715429,0.0021816424819712022
118.784,-2.9420027045986745,-0.6162569976687067,0.002186220242241165
119.296,-2.6348034411304906,-0.6155853779033109,0.002181773723631866
119.808,-2.3276041733699646,-0.6149145443616382,0.0021874771151100545
120.32000000000001,-2.020404902938752,-0.6142438144592888,0.002183319897904082
120.83200000000001,-1.713205640415298,-0.6135723762640772,0.002182755150268279
121.34400000000001,-1.4060063723747904,-0.6129016166496779,0.0021876789517911812
121.85600000000001,-1.0988071031456352,-0.612230747216017,0.0021823855920442272
122.36800000000001,-0.7916078409254594,-0.6115593212935118,0.0021838070842045408
122.88,-0.48440857158073614,-0.6108886572057561,0.0021874489804881115
123.392,-0.17720930375674981,-0.6102176297457516,0.0021817214315951435
123.904,0.12998995871897825,-0.6095462603033052,0.0021849490370931834
124.416,0.4371892290748887,-0.6088756492978747,0.002186880335436067
124.928,0.7443884953443681,-0.6082044616671561,0.0021813912823730568
125.44,1.0515877585657778,-0.6075331866065795,0.0021860583261615325
125.952,1.3587870294888091,-0.6068625770965359,0.0021860477684669485
126.464,1.6659862942204582,-0.6061912426413358,0.002181441927442426
126.976,1.9731855585891203,-0.6055200857690881,0.0021870213984989963
127.488,2.280384829557394,-0.6048494224582136,0.0021850593669293086
128.0,2.5875840929263294,-0.6041779659559499,0.0021818803475725256
128.512,2.8947833587162886,-0.6035069319922369,0.0021877611923938017
129.024,3.2019826291826163,-0.6028361595645931,0.002184047944857852
129.536,3.5091818914576907,-0.6021646057024408,0.0021826778906433825
130.048,3.816381158833335,-0.6014936713759829,0.002188332927032309
130.56,4.089289004613269,-0.6008999289948613,0.002164915389969299
131.072,4.255888976053366,-0.6005364259201051,0.0021967317584240015
131.584,4.3550463793224905,-0.6003185195176042,0.0021961841220428887
132.096,4.354347555603402,-0.44679996242755615,0.002205582290603583
132.608,4.353655236211036,-0.29317804570985323,0.0021991686509934324
133.12,4.35298026684341,-0.13957857423573514,0.0021950637453522557
133.632,4.352306621215702,0.014020161599204946,0.0021917985574615656
134.144,4.109603949825459,0.04959373301454531,2.573422123852177e-05
134.656,3.802289323299941,0.04957231872208463,-0.00015947668369054044
135.168,3.495086783445446,0.04959563190030152,-3.979440919340084e-05
135.68,3.1878867077607653,0.04960832376633977,-4.569247931993109e-05
136.192,2.880686718561118,0.049624517538088254,-5.313062123512499e-05
